': monkey-chatter
Латвия: Latvia
Лев: Leo
Левит: Leviticus
Лейла: Leila
Леонард: Leonard
Леонора: Leonora
Леопольд: Leopold
Лесли: Leslie
Лесли: Lesley
Лесото: Lesotho
Лета: Lethe
Либерия: Liberia
Ливан: Lebanon
Ливия: Libya
Лили: Lily
Лилиан: Lillian
Линда: Linda
Лира: Lyra
Литва: Lithuania
Литрим: Leitrim
Лихтенштейн: Liechtenstein
Ллойд: Lloyd's
Лондондерри: Londonderry
Лора: Laura
Лоренс: Laurence
Луиза: Louisa
Луиза: Louise
Луизиана: Louisiana
Луис: Louis
Лукас: Lucas
Льюис: Lewis
Люксембург: Luxemburg
Люси: Lucy
Люцифер: Lucifer
Маврикий: Mauritius
Мавритания: Mauritania
Магнус: Magnus
Магомет: Mahomet
Мадагаскар: Madagascar
Маделейн: Madeleine
Майкл: Michael
Майсур: Mysore
Маккавей: Maccabeus
Максимилиан: Maximilian
Малави: Malawi
Малайзия: Malaysia
Мали: Mali
Мальдивы: Maldives
Малькольм: Malcolm
Мальта: Malta
Манитоба: Manitoba
Манхаттан: Manhattan
Маргарет: Margaret
Марианна: Marianne
Марина: Marina
Марион: Marion
Мария: Maria
Марк: Mark
Маркус: Marcus
Марокко: Morocco
Марс: Mars
Марсельеза: Marseillaise
Марта: Martha
Мартин: Martin
Массачусетс: Massachusetts
Матиас: Matthias
Мафусаил: Methuselah
Медея: Medea
Мейбл: Mabel
Меланезия: Melanesia
Мельпомена: Melpomene
Мередит: Meredith
Мерси: Mercy
Месопотамия: Mesopotamia
Мидлотиан: Midlothian
Мидлсекс: Middlesex
Милдред: Mildred
Минерва: Minerva
Минна: Minna
Миннесота: Minnesota
Мирабел: Mirabel
Миранда: Miranda
Мириам: Miriam
Миссисипи: Mississippi
Миссури: Missouri
Мит: Meath
Митра: Mithras
Мичиган: Michigan
Мишка: Bruin
Мозамбик: Mozambique
Моисей: Moses
Молдавия: Moldavia
Монаган: Monaghan
Монако: Monaco
Монголия: Mongolia
Моника: Monica
Монтана: Montana
Морган: Morgan
Мори: Moray
Морис: Maurice
Моррис: Morris
Мортимер: Mortimer
Морфей: Morpheus
Мухаммед: Mohammed
Мэн: Maine
Мэри: Mary
Мэриан: Marian
Мэриленд: Maryland
Мэтью: Matthew
Мюриель: Muriel
Намибия: Namibia
Наталия: Natalia
Натан: Nathan
Натаниэль: Nathaniel
Науру: Nauru
Небраска: Nebraska
Невада: Nevada
Невиль: Neville
Немезида: Nemesis
Непал: Nepal
Нептун: Neptune
Нерон: Nero
Нигер: Niger
Нигерия: Nigeria
Нидерланды: Netherlands
Никарагуа: Nicaragua
Никола: Nicola
Николас: Nicholas
Ной: Noah
